"Beroeps- en eigen vervoer";"Vervoerstromen";"Perioden";"Vervoerd ladinggewicht (1 000 ton)";"Ladingtonkilometers (x mln)";"Voertuigkilometers, totaal (mln km)";"Voertuigkilometers, beladen (mln km)";"Ritten, beladen (x 1 000)"
"Beroeps- en eigen vervoer";"Totaal";"1997";584441;87428;;;
"Beroeps- en eigen vervoer";"Totaal";"1998";598510;89517;;;
"Beroeps- en eigen vervoer";"Totaal";"1999";667002;95292;;;
"Beroeps- en eigen vervoer";"Totaal";"2000";640579;90462;;;
"Beroeps- en eigen vervoer";"Totaal";"2001";650092;89271;;;
"Beroeps- en eigen vervoer";"Totaal";"2002";624668;87560;;;
"Beroeps- en eigen vervoer";"Totaal";"2003";628812;88943;;;
"Beroeps- en eigen vervoer";"Totaal";"2004";672318;98874;9213;6599;47451
"Beroeps- en eigen vervoer";"Totaal";"2005";674947;95781;8936;6385;49933
"Beroeps- en eigen vervoer";"Totaal";"2006";680409;94946;9011;6378;52815
"Beroeps- en eigen vervoer";"Totaal";"2007";700291;88920;8395;5927;54731
"Beroeps- en eigen vervoer";"Totaal";"2008";682134;88737;8770;6208;51988
"Beroeps- en eigen vervoer";"Totaal";"2009";675315;82254;8366;5865;48466
"Beroeps- en eigen vervoer";"Totaal";"2010";657702;76835;7886;5681;47950
"Beroeps- en eigen vervoer";"Totaal";"2011";657859;75541;7995;5798;49380
"Beroeps- en eigen vervoer";"Totaal";"2012";631705;70084;7515;5443;47568
"Beroeps- en eigen vervoer";"Totaal";"2013";642050;72080;7568;5498;49861
"Beroeps- en eigen vervoer";"Totaal";"2014";639692;72335;7719;5662;51319
"Beroeps- en eigen vervoer";"Totaal";"2015";641440;68899;7546;5567;53522
"Beroeps- en eigen vervoer";"Totaal";"2016";656417;67785;7423;5463;54172
"Beroeps- en eigen vervoer";"Totaal";"2017";665992;67532;7202;5328;52733
"Beroeps- en eigen vervoer";"Totaal";"2018";680169;68906;7366;5440;53243
"Beroeps- en eigen vervoer";"Totaal";"2019";688739;68922;7293;5370;53828
"Beroeps- en eigen vervoer";"Totaal";"2020**";684241;67592;7377;5369;55206
"Beroeps- en eigen vervoer";"Totaal";"2021**";699323;69557;7686;5591;57048
"Beroeps- en eigen vervoer";"Totaal";"2022*";690770;65348;7198;5277;58451
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"1997";564955;78442;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"1998";577684;79924;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"1999";644206;85395;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2000";618294;80291;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2001";626096;79231;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2002";601335;77180;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2003";602083;78472;;;
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2004";640033;85309;8101;5787;45596
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2005";644042;84200;7945;5668;47970
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2006";652254;83718;8067;5710;51097
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2007";673400;79509;7519;5327;52921
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2008";652853;78781;7847;5587;50063
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2009";650264;73080;7492;5284;46821
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2010";627372;66464;7023;5022;46003
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2011";628191;66557;7209;5196;47476
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2012";604152;62189;6805;4899;45794
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2013";609193;63532;6762;4928;47726
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2014";609728;64183;6941;5113;49330
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2015";611129;61796;6873;5082;51427
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2016";629232;61965;6869;5063;52290
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2017";638110;61297;6627;4909;50826
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2018";653616;63130;6778;5031;51385
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2019";660065;63157;6745;4980;52011
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2020**";658074;62032;6848;4995;53489
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2021**";672614;63883;7127;5198;55272
"Beroeps- en eigen vervoer";"Binnenlands en bilateraal vervoer";"2022*";666433;60350;6707;4927;56750
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"1997";451354;30591;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"1998";462970;31568;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"1999";520641;35341;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2000";502731;34085;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2001";508903;33513;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2002";484016;32495;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2003";481360;32891;;;
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2004";505944;34990;4644;2893;38932
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2005";513264;34508;4546;2819;41171
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2006";519714;33698;4547;2842;43997
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2007";542351;33264;4245;2665;45832
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2008";525592;34620;4486;2921;43281
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2009";534693;33844;4422;2831;40609
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2010";520929;30114;4085;2582;39524
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2011";516934;30344;4210;2717;40715
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2012";497434;28718;3987;2592;39293
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2013";504971;31844;4094;2779;41102
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2014";503103;32033;4180;2900;42320
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2015";508883;32075;4268;2964;44436
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2016";528369;33953;4413;3099;45605
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2017";534045;33122;4187;2931;43901
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2018";547805;34111;4290;3020;44454
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2019";559867;35342;4373;3054;45401
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2020**";558809;34976;4488;3082;46824
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2021**";570092;36278;4673;3225;48375
"Beroeps- en eigen vervoer";"Binnenlands vervoer";"2022*";573310;35350;4537;3134;50332
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"1997";133087;56837;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"1998";135541;57949;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"1999";146361;59951;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2000";137848;56377;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2001";141189;55757;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2002";140652;55065;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2003";147452;56053;;;
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2004";166373;63884;4569;3705;8519
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2005";161684;61273;4390;3566;8762
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2006";160695;61248;4464;3536;8818
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2007";157941;55656;4150;3262;8899
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2008";156542;54116;4284;3287;8707
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2009";140622;48410;3944;3034;7857
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2010";136773;46721;3801;3099;8426
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2011";140925;45198;3785;3081;8665
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2012";134271;41365;3528;2851;8275
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2013";137079;40236;3473;2719;8759
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2014";136588;40302;3540;2761;9000
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2015";132557;36824;3279;2603;9086
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2016";128048;33833;3011;2364;8567
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2017";131947;34410;3015;2397;8832
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2018";132364;34795;3076;2420;8788
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2019";128872;33579;2921;2317;8427
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2020**";125432;32616;2889;2287;8382
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2021**";129231;33279;3013;2366;8673
"Beroeps- en eigen vervoer";"Totaal internationaal vervoer";"2022*";117461;29998;2661;2143;8119
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"1997";113601;47851;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"1998";114715;48356;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"1999";123565;50054;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2000";115563;46206;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2001";117193;45717;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2002";117319;44685;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2003";120723;45582;;;
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2004";134088;50319;3457;2893;6664
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2005";130779;49692;3399;2849;6799
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2006";132540;50020;3520;2868;7100
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2007";131050;46245;3274;2662;7089
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2008";127261;44160;3362;2666;6782
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2009";115571;39236;3070;2453;6212
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2010";106442;36351;2938;2440;6479
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2011";111257;36213;2998;2479;6761
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2012";106718;33471;2818;2307;6501
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2013";104222;31688;2668;2150;6624
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2014";106625;32149;2761;2213;7010
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2015";102247;29721;2605;2119;6991
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2016";100862;28013;2456;1965;6685
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2017";104065;28175;2440;1978;6925
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2018";105811;29019;2487;2011;6931
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2019";100198;27815;2372;1926;6609
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2020**";99265;27055;2360;1913;6665
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2021**";102522;27605;2454;1972;6897
"Beroeps- en eigen vervoer";"Bilateraal vervoer";"2022*";93124;25000;2170;1793;6418
"Beroeps- en eigen vervoer";"Cabotagevervoer";"1997";7967;1359;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"1998";8543;1468;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"1999";9885;1638;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2000";9566;1691;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2001";11603;2004;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2002";9910;1805;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2003";13047;2331;;;
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2004";14938;2845;371;198;918
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2005";16905;2745;368;204;1176
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2006";14142;2205;321;150;921
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2007";13689;1999;350;168;1069
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2008";16291;2562;391;199;1196
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2009";12947;2264;370;174;954
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2010";16172;2727;358;224;1161
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2011";16848;2557;347;221;1185
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2012";16642;2495;332;216;1161
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2013";20703;2476;341;201;1419
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2014";17867;2292;320;187;1269
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2015";19580;2273;298;183;1448
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2016";18066;1837;250;155;1347
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2017";18287;1879;264;158;1345
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2018";17380;1894;272;166;1307
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2019";19259;1843;247;148;1277
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2020**";16874;1817;252;150;1184
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2021**";17168;1910;260;156;1229
"Beroeps- en eigen vervoer";"Cabotagevervoer";"2022*";16144;1713;237;146;1220
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"1997";11519;7627;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"1998";12283;8125;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"1999";12911;8259;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2000";12719;8480;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2001";12393;8036;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2002";13423;8575;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2003";13682;8140;;;
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2004";17347;10720;741;614;937
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2005";14000;8836;624;513;787
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2006";14013;9023;623;518;797
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2007";13202;7412;526;432;741
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2008";12990;7394;531;422;729
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2009";12104;6910;504;407;691
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2010";14158;7644;505;436;787
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2011";12820;6428;440;381;718
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2012";10911;5399;378;328;613
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2013";12154;6072;464;368;716
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2014";12096;5860;459;362;720
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2015";10731;4830;376;301;646
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2016";9119;3983;304;244;535
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2017";9595;4356;311;261;562
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2018";9173;3881;316;242;551
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2019";9415;3922;302;243;541
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2020**";9293;3744;277;224;533
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2021**";9541;3764;300;237;547
"Beroeps- en eigen vervoer";"Derdelandenvervoer";"2022*";8193;3285;255;204;481
"Beroepsvervoer";"Totaal";"1997";443592;78508;;4086;
"Beroepsvervoer";"Totaal";"1998";456906;80704;;4216;
"Beroepsvervoer";"Totaal";"1999";501217;84606;;4493;
"Beroepsvervoer";"Totaal";"2000";473827;79613;;4440;
"Beroepsvervoer";"Totaal";"2001";487903;78907;;4517;
"Beroepsvervoer";"Totaal";"2002";466918;77948;;4648;
"Beroepsvervoer";"Totaal";"2003";471575;76965;;4708;
"Beroepsvervoer";"Totaal";"2004";497451;85654;7104;5181;29886
"Beroepsvervoer";"Totaal";"2005";483558;82132;6895;5011;30258
"Beroepsvervoer";"Totaal";"2006";495676;81886;6997;5032;31993
"Beroepsvervoer";"Totaal";"2007";524446;74252;6407;4557;34586
"Beroepsvervoer";"Totaal";"2008";530989;76201;6938;4947;34544
"Beroepsvervoer";"Totaal";"2009";485601;69767;6483;4578;29502
"Beroepsvervoer";"Totaal";"2010";508001;67643;6395;4714;33343
"Beroepsvervoer";"Totaal";"2011";500985;65761;6404;4741;33977
"Beroepsvervoer";"Totaal";"2012";480511;60426;5949;4417;32481
"Beroepsvervoer";"Totaal";"2013";481647;61684;5994;4409;33752
"Beroepsvervoer";"Totaal";"2014";488280;62049;6144;4546;35986
"Beroepsvervoer";"Totaal";"2015";494521;59014;5999;4476;37814
"Beroepsvervoer";"Totaal";"2016";519654;58489;5993;4459;39650
"Beroepsvervoer";"Totaal";"2017";535520;59226;5913;4415;39260
"Beroepsvervoer";"Totaal";"2018";549105;60153;6010;4477;39705
"Beroepsvervoer";"Totaal";"2019";550297;59903;5949;4410;39930
"Beroepsvervoer";"Totaal";"2020**";549667;58754;5983;4385;41188
"Beroepsvervoer";"Totaal";"2021**";564456;60503;6270;4590;43125
"Beroepsvervoer";"Totaal";"2022*";561239;56515;5807;4289;44080
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"1997";424647;69589;;3595;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"1998";436486;71180;;3689;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"1999";479179;74885;;3939;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2000";452341;69653;;3864;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2001";464502;69011;;3935;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2002";444093;67654;;4034;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2003";445488;66615;;4095;
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2004";466410;72384;6031;4396;28123
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2005";454786;71014;5956;4329;28464
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2006";469727;71157;6099;4395;30433
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2007";499982;65614;5612;4010;32950
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2008";504383;67047;6086;4374;32804
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2009";461810;60971;5654;4027;27965
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2010";478575;57442;5557;4072;31474
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2011";472566;57038;5649;4164;32169
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2012";454690;52906;5278;3904;30827
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2013";450984;53451;5227;3866;31758
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2014";460212;54195;5406;4026;34139
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2015";465639;52155;5356;4014;35853
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2016";494164;52905;5465;4078;37924
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2017";508888;53136;5356;4008;37453
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2018";524250;54613;5451;4090;37976
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2019";523441;54323;5423;4036;38240
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2020**";524856;53413;5486;4036;39599
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2021**";540329;55222;5755;4227;41551
"Beroepsvervoer";"Binnenlands en bilateraal vervoer";"2022*";539267;51854;5356;3967;42579
"Beroepsvervoer";"Binnenlands vervoer";"1997";318852;23733;;1392;
"Beroepsvervoer";"Binnenlands vervoer";"1998";329542;24747;;1465;
"Beroepsvervoer";"Binnenlands vervoer";"1999";365057;27483;;1630;
"Beroepsvervoer";"Binnenlands vervoer";"2000";346350;26072;;1659;
"Beroepsvervoer";"Binnenlands vervoer";"2001";357145;25851;;1706;
"Beroepsvervoer";"Binnenlands vervoer";"2002";335123;25089;;1766;
"Beroepsvervoer";"Binnenlands vervoer";"2003";337728;24770;;1823;
"Beroepsvervoer";"Binnenlands vervoer";"2004";348839;26135;3040;1878;22499
"Beroepsvervoer";"Binnenlands vervoer";"2005";340030;25635;2996;1838;22766
"Beroepsvervoer";"Binnenlands vervoer";"2006";353637;25380;3015;1871;24471
"Beroepsvervoer";"Binnenlands vervoer";"2007";387781;25442;2899;1802;27171
"Beroepsvervoer";"Binnenlands vervoer";"2008";391745;27457;3172;2058;27039
"Beroepsvervoer";"Binnenlands vervoer";"2009";360931;25634;3008;1908;22780
"Beroepsvervoer";"Binnenlands vervoer";"2010";383125;24020;2957;1891;25796
"Beroepsvervoer";"Binnenlands vervoer";"2011";373490;23898;3019;1972;26324
"Beroepsvervoer";"Binnenlands vervoer";"2012";359362;22406;2821;1872;25226
"Beroepsvervoer";"Binnenlands vervoer";"2013";359687;24691;2913;1976;26115
